Dataset,Image,Intensity,Size
ISLES,sub1/0/slice1_nonlesion.png,NaN,0
ISLES,sub1/0/slice2_nonlesion.png,NaN,0
ISLES,sub1/0/slice3_nonlesion.png,NaN,0
ISLES,sub1/0/slice4_nonlesion.png,NaN,0
ISLES,sub1/0/slice5_nonlesion.png,NaN,0
ISLES,sub1/0/slice6_nonlesion.png,NaN,0
ISLES,sub1/0/slice7_nonlesion.png,NaN,0
ISLES,sub1/0/slice8_nonlesion.png,NaN,0
ISLES,sub1/0/slice9_nonlesion.png,NaN,0
ISLES,sub1/0/slice10_nonlesion.png,NaN,0
ISLES,sub1/1/slice11_lesion.png,0.573542033,8
ISLES,sub1/1/slice12_lesion.png,0.651571137,31
ISLES,sub1/1/slice13_lesion.png,0.74508834,45
ISLES,sub1/1/slice14_lesion.png,0.708419763,158
ISLES,sub1/1/slice15_lesion.png,0.648439376,574
ISLES,sub1/1/slice16_lesion.png,0.64272838,851
ISLES,sub1/1/slice17_lesion.png,0.65256363,1004
ISLES,sub1/1/slice18_lesion.png,0.654256621,1059
ISLES,sub1/1/slice19_lesion.png,0.63866126,1497
ISLES,sub1/1/slice20_lesion.png,0.643042207,1594
ISLES,sub1/1/slice21_lesion.png,0.636160189,1706
ISLES,sub1/1/slice22_lesion.png,0.628031758,1755
ISLES,sub1/1/slice23_lesion.png,0.624725842,1730
ISLES,sub1/1/slice24_lesion.png,0.622700479,1583
ISLES,sub1/1/slice25_lesion.png,0.602864544,1450
ISLES,sub1/1/slice26_lesion.png,0.610943298,1060
ISLES,sub1/1/slice27_lesion.png,0.593342629,919
ISLES,sub1/1/slice28_lesion.png,0.575409299,583
ISLES,sub1/1/slice29_lesion.png,0.519486329,365
ISLES,sub1/1/slice30_lesion.png,0.434815621,115
ISLES,sub1/0/slice31_nonlesion.png,NaN,0
ISLES,sub1/0/slice32_nonlesion.png,NaN,0
ISLES,sub1/0/slice33_nonlesion.png,NaN,0
ISLES,sub1/0/slice34_nonlesion.png,NaN,0
ISLES,sub1/0/slice35_nonlesion.png,NaN,0
ISLES,sub1/0/slice36_nonlesion.png,NaN,0
ISLES,sub10/0/slice1_nonlesion.png,NaN,0
ISLES,sub10/0/slice2_nonlesion.png,NaN,0
ISLES,sub10/0/slice3_nonlesion.png,NaN,0
ISLES,sub10/0/slice4_nonlesion.png,NaN,0
ISLES,sub10/0/slice5_nonlesion.png,NaN,0
ISLES,sub10/0/slice6_nonlesion.png,NaN,0
ISLES,sub10/0/slice7_nonlesion.png,NaN,0
ISLES,sub10/0/slice8_nonlesion.png,NaN,0
ISLES,sub10/0/slice9_nonlesion.png,NaN,0
ISLES,sub10/0/slice10_nonlesion.png,NaN,0
ISLES,sub10/0/slice11_nonlesion.png,NaN,0
ISLES,sub10/0/slice12_nonlesion.png,NaN,0
ISLES,sub10/0/slice13_nonlesion.png,NaN,0
ISLES,sub10/1/slice14_lesion.png,0.515158782,134
ISLES,sub10/1/slice15_lesion.png,0.55340048,505
ISLES,sub10/1/slice16_lesion.png,0.563224257,780
ISLES,sub10/1/slice17_lesion.png,0.564713475,1042
ISLES,sub10/1/slice18_lesion.png,0.567993545,822
ISLES,sub10/1/slice19_lesion.png,0.564404622,893
ISLES,sub10/1/slice20_lesion.png,0.566275972,875
ISLES,sub10/1/slice21_lesion.png,0.570461724,868
ISLES,sub10/1/slice22_lesion.png,0.566811451,894
ISLES,sub10/1/slice23_lesion.png,0.577638701,672
ISLES,sub10/1/slice24_lesion.png,0.586454183,514
ISLES,sub10/1/slice25_lesion.png,0.583616014,640
ISLES,sub10/1/slice26_lesion.png,0.582675876,805
ISLES,sub10/1/slice27_lesion.png,0.567935492,796
ISLES,sub10/1/slice28_lesion.png,0.559621603,638
ISLES,sub10/1/slice29_lesion.png,0.58323519,286
ISLES,sub10/1/slice30_lesion.png,0.582676603,198
ISLES,sub10/1/slice31_lesion.png,0.560766843,97
